title,description,prod_details,ASIN,Manfacturer
"Wenger CITYUPGRADE 16 Inch Laptop Backpack with Satchel, Tablet Pocket in Grey (15 Litre)-blend of style & function, Swiss designed, 606489","  Fit Type: Regular    Two-piece slim backpack with removable cross-body sling    Padded 16” laptop compartment and dedicated 12” tablet pocket to protect devices    Essentials organizer keeps power cords, chargers and business cards neat and accessible    3-Year Wenger Warranty Our products undergo strict quality controls and rigorous testing standards. Nevertheless, should you encounter a problem with your product, we are offering you a 3-year warranty.    Two piece style features a slim 16"" backpack and a removable crossbody sling   ","  Batteries:1 A batteries required.   Product Dimensions:38 x 16.99 x 41 cm; 80 Grams   Date First Available:5 August 2020   Manufacturer:Wenger   ASIN:B07PWH1F9Z   Item model number:606489   Country of Origin:China   Department:Unisex-adult   Manufacturer:Wenger, +91-22-62628888   Packer:Victorinox India Pvt. Ltd - +91 22 62628888   Importer:Victorinox India Pvt. Ltd - +91 22 62628888   Item Weight:80 g   Item Dimensions LxWxH:38 x 17 x 41 Centimeters   Net Quantity:1.00 count   Generic Name:Laptop Backpack  ",B07PWH1F9Z,Wenger
Nelle Harper Women's Handbag,"  Detailed with an attractive gold handle hardware along with small utility pouch to enchance the functionality of the bag    Stunning outside clasped with a detachable spacious mini pouch,that helps you keep your money,cards and keys for easy access while on the go,along with roomy compartments that enables you to keep your essentials organized    This bag will help you navigate between your worlds with effortless ease by coordinating it with your work wear or an outing with your girl pals    Made in India   ","  Product Dimensions:43.2 x 14 x 27.9 cm; 630 Grams   Date First Available:27 April 2019   Manufacturer:Red Turks India   ASIN:B07RBR6NW2   Item model number:NHMVH007   Country of Origin:India   Department:Women   Manufacturer:Red Turks India, Red Turks India ,D-08, First Floor, M.R.Society, opp Raheja College.Relif Road, Santacruz (W) Mumbai no-400054. Tel : +91 9167 1484 25 , EMail : sandesh@redrootsindia.com, ecom@redrootsindia.com   Packer:Red Turks India ,D-08, First Floor, M.R.Society, opp Raheja College.Relif Road, Santacruz (W) Mumbai no-400054. Tel : +91 9167 1484 25 , EMail : sandesh@redrootsindia.com, ecom@redrootsindia.com   Item Weight:630 g   Item Dimensions LxWxH:43.2 x 14 x 27.9 Centimeters   Net Quantity:1 count   Included Components:1 N Handbag   Generic Name:Handbag With Pouch  ",B07RBR6NW2,Red Turks India
Wildcraft 44 Ltrs Casual Backpack (11629-Wolf_Black),"  Number of compartments: 3, Laptop Sleeve: Yes   ","  Is Discontinued By Manufacturer:No   Product Dimensions:48 x 34 x 27 cm; 400 Grams   Date First Available:28 January 2018   Manufacturer:Wildcraft   ASIN:B079DDT65R   Item model number:11629-Wolf_Blk   Country of Origin:India   Manufacturer:Wildcraft, Wildcraft, No. 4AC-401, 2nd Block, Hennur Road, BDA Layout, Bangalore City Corporation Ward No. 89, Kammanahalli, Bengaluru, Karnataka 560084; Phome: 9930076456   Packer:Wildcraft, No. 4AC-401, 2nd Block, Hennur Road, BDA Layout, Bangalore City Corporation Ward No. 89, Kammanahalli, Bengaluru, Karnataka 560084; Phome: 9930076456   Item Weight:400 g   Item Dimensions LxWxH:48 x 34 x 27 Centimeters   Net Quantity:1 count   Included Components:Backpack   Generic Name:Casual Backpack  ",B079DDT65R,No
LL LEATHER LAND DESIGNER BAGS Sling Bag_SLG_90,"  Lethereette SLing bag    Stylish Sling in 9 inches height,10 inches length and 4 inches width    Water Proof    Adjustable strap   ","  Date First Available:5 September 2022   Manufacturer:LL LEATHER LAND DESIGNER BAGS   ASIN:B0BD4TTDHD   Item model number:SLG_90_Parent   Country of Origin:India   Department:Unisex-adult   Manufacturer:LL LEATHER LAND DESIGNER BAGS, LL Leather Land Designer Bags,Customer Support (9849818415)  ",B0BD4TTDHD,LL LEATHER LAND DESIGNER BAGS
F Gear Enzo Sports Waist Bag (.Red),  One zippered compartment suitable for keys/napkins/wallet/mobile etc.    One inside pocket with two small sleeves for credit card/passport etc. This fanny pack is suitable for only 250ml bottle.    This fanny pack is water resistant.    Premium YKK Japanese Zippers& sliders with an adjustable waist strap.    Comes with The F Gear promise of quality and durability.   ,"  Product Dimensions:20 x 4 x 14 cm; 110 Grams   Date First Available:18 March 2020   Manufacturer:F Gear   ASIN:B0862LF7HS   Item model number:3303   Country of Origin:India   Department:Unisex-adult   Manufacturer:F Gear, Uber Fashion Merchandise Pvt. Ltd. No. 17G/46-3 & 17G/46-3-1 , 1st & 2nd Floor, Industrial Suburb, 2nd Stage, Yeshwantpur, Next to Sapna Books on MEI road, Bangalore – 560 022. INDIA Tel: 9066161590   Packer:Uber Fashion Merchandise Pvt. Ltd. F Gear, Jindal Edifice, No 90/2, 3rd Main, 2nd Stage, Industrial Suburb, Yeshwantpur, Bengaluru, Karnataka 560213   Item Weight:110 g   Item Dimensions LxWxH:20 x 4 x 14 Centimeters   Net Quantity:1 count   Included Components:Pack of 1 Waist Bag   Generic Name:Waist Bag  ",B0862LF7HS,F Gear
Gear Moderneco5 21L Water Resistant School Bag/Backpack/College Bag For Men/Women - Navyblue,"  Outer Material: Polyester, Color: Blue    Water Resistance: Water resistant    Capacity: 20 liters; Dimensions: 48 cms x 32 cms x 14 cms (LxWxH)    Number of compartments: 1; Laptop Compatibility: No, Strap Type: Adjustable    Special Features: Laptop Compartment; Closure Type: Zipper; Pocket Description: Utility Pocket; Style Name: Traditional Backpacks; Age Range Description: Adult   ","  Product Dimensions:48 x 32 x 14 cm; 280 Grams   Date First Available:30 August 2017   Manufacturer:Gear Merchandise PVT LTD   ASIN:B0757K36YV   Item model number:MDBKPECO50504   Country of Origin:India   Department:Men   Manufacturer:Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366   Packer:Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366   Item Weight:280 g   Item Dimensions LxWxH:48 x 32 x 14 Centimeters   Net Quantity:1 count   Included Components:Backpack   Generic Name:Bag  ",B0757K36YV,Gear Merchandise PVT LTD
Fostelo Handbag For Women And Girls | Ladies Purse Faux Leather Satchel Bag | Woman Gifts | Wedding Gifts For Women | Women 2 Compartments Bag | Travel Purse Hobo Bag | 4 Pockets Shoulder Bag,"  Warranty :- 1 Year Warranty On Manufacturing Defects. 100% Quality Assured.    Dimensions (In Inches) :- 12"" Tall X 17"" Wide X 6"" Deep    Compartments :- 1 Zip With 2 Compartments And 1 Back Zip Pocket    Material :-100% PU | Colour :- Tan   ","  Is Discontinued By Manufacturer:No   Product Dimensions:40 x 27 x 3 cm; 550 Grams   Date First Available:6 June 2015   Manufacturer:Fostelo   ASIN:B00Z0NMFKU   Item model number:FSB-20F396   Country of Origin:India   Department:Women   Manufacturer:Fostelo, Promunt Online Services Pvt Ltd 6-2-119/A/1, New Bhoiguda Secunderabad 500003 Contact : 9030618181 cs@fostelo.com   Packer:Promunt Online Services Pvt Ltd 6-2-119/A/1, New Bhoiguda Secunderabad 500003 Contact : 9030618181 cs@fostelo.com   Importer:Promunt Online Services Pvt Ltd 6-2-119/A/1, New Bhoiguda Secunderabad 500003 Contact : 9030618181 cs@fostelo.com   Item Weight:550 g   Item Dimensions LxWxH:40 x 27 x 3 Centimeters   Net Quantity:1.00 count   Included Components:Handbag   Generic Name:Handbag  ",B00Z0NMFKU,No
COSMUS Agility Convertible Backpack Messenger Bag Shoulder bag Laptop Case Handbag Business Briefcase Multi-functional Travel Bag Fits 15.6 Inch Laptop,"  PU coated Water resistance Light weight Durable Fabric. Dimensions: 17.5x12.5x7.5 inches; Fits up to 15.6 inches laptop.    One Laptop compartment, One Main compartment for Cloths and all documents can easily keep 3 days clothes for traveling. Roomy enough for your need.    26L capacity : Weight: 950 gm Dimension: 17.5x12.5x7.5 inches    Age Range Description: Adult; Color Name: Navy Blue; Compartment Description: Up To 15 Inches; Material Type: Polyester; Lining Description: Polyurethane; Style Name: Travel Backpacks; Water Resistance Level: Water Resistant; Pocket Description: Utility Pocket; Closure Type: Zipper; Warranty Description: 1 Year Warranty Against Manufacturing Defects.; Pattern Name: Solid     ","  Is Discontinued By Manufacturer:No   Product Dimensions:31.12 x 19.05 x 44.45 cm; 950 Grams   Date First Available:11 May 2018   Manufacturer:Cosmus   ASIN:B07D1QHR6H   Item model number:40051024014   Country of Origin:India   Department:Unisex-adult   Manufacturer:Cosmus, 359,Ground Floor Abubakar Chawl Dharavi Main Road, Bagicha Compound, Dharavi Mumbai,400017 Mobile: +91 8767008844   Packer:359,Ground Floor Abubakar Chawl Dharavi Main Road, Bagicha Compound, Dharavi Mumbai,400017 Mobile: +91 8767008844   Item Weight:950 g   Item Dimensions LxWxH:31.1 x 19.1 x 44.5 Centimeters   Net Quantity:1.00 count  ",B07D1QHR6H,No
"Wenger BTS MARS Laptop Backpack with Padded compartment for 16 Inch laptop & 10 Inch tablet, Essentials Organiser in Teal/Red (26 Litres)-blend of style & function, Swiss designed, 612033","  Laptop & Tablet Pocket: Padded 16"" laptop compartment & a separate 10"" tablet compartment. Keep your laptop & tablet secure in its own convenient pocket.    Comprehensive Features: An integrated SmartOrg pocket that safely stores phone & laptop cords for easy use & access. Ideal for commuting & traveling. Mesh side pockets for carrying a water bottle or an umbrella. Cords on the front for attaching jackets & larger accessories.    Optimum Comfort with Functionality: Contoured, heavily padded suspension straps allow for unrestricted movement & the ultimate in carrying comfort. Padded back panel adds maximum comfort. Wire reinforced padded top handle for easy carrying.    Dimensions & Material: Size 24 x 33 x 46 cm Capacity 26 l Material Polyester    3-Year Wenger Warranty Our products undergo strict quality controls and rigorous testing standards. Nevertheless, should you encounter a problem with your product, we are offering you a 3-year warranty.   ","  Product Dimensions:33 x 24 x 46 cm; 540 Grams   Date First Available:31 October 2020   Manufacturer:Wenger   ASIN:B08MCFYK5N   Item model number:612033   Country of Origin:India   Department:Unisex-adult   Manufacturer:Wenger, Victorinox India Pvt. Ltd - +91 22 62628888   Packer:Victorinox India Pvt. Ltd - +91 22 62628888   Importer:Victorinox India Pvt. Ltd - +91 22 62628888   Item Weight:540 g   Item Dimensions LxWxH:33 x 24 x 46 Centimeters   Net Quantity:1 Count   Included Components:Backpack   Generic Name:Laptop Backpack  ",B08MCFYK5N,Wenger
VIP Polypropylene 48 Cms Travel Bag(DFENDEBRN_Brown),"  Padded, Comfortable Shoulder Strap    Easy access front pocket    Soft Grip handles    Stylish Design   ","  Product Dimensions:27 x 48 x 28.5 cm; 950 Grams   Date First Available:24 June 2022   Manufacturer:VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India   ASIN:B0B527KJQZ   Item model number:DFENDEBRN   Country of Origin:Bangladesh   Department:Unisex   Manufacturer:VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India, VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India   Packer:VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India   Importer:VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India   Item Weight:950 g   Item Dimensions LxWxH:27 x 48 x 28.5 Centimeters   Generic Name:Luggage- Carry-On Luggage  ",B0B527KJQZ,"VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India"
F Gear Enzo Sports Waist Bag (.Black Blue),  One zippered compartment suitable for keys/napkins/wallet/mobile etc.    One inside pocket with two small sleeves for credit card/passport etc. This fanny pack is suitable for only 250ml bottle.    This fanny pack is water resistant.    Premium YKK Japanese Zippers& sliders with an adjustable waist strap.    Comes with The F Gear promise of quality and durability.   ,"  Product Dimensions:20 x 4 x 14 cm; 110 Grams   Date First Available:18 March 2020   Manufacturer:Uber Fashion Merchandise Pvt. Ltd.   ASIN:B0862LXJYT   Item model number:3314   Country of Origin:India   Department:Unisex-adult   Manufacturer:Uber Fashion Merchandise Pvt. Ltd., Uber Fashion Merchandise Pvt. Ltd. No. 17G/46-3 & 17G/46-3-1 , 1st & 2nd Floor, Industrial Suburb, 2nd Stage, Yeshwantpur, Next to Sapna Books on MEI road, Bangalore – 560 022. INDIA Tel: 9066161590   Packer:Uber Fashion Merchandise Pvt. Ltd. F Gear, Jindal Edifice, No 90/2, 3rd Main, 2nd Stage, Industrial Suburb, Yeshwantpur, Bengaluru, Karnataka 560214   Item Weight:110 g   Item Dimensions LxWxH:20 x 4 x 14 Centimeters   Net Quantity:1 count   Included Components:Pack of 1 Waist Bag   Generic Name:Waist Bag  ",B0862LXJYT,Uber Fashion Merchandise Pvt. Ltd.
Bagneeds Men's Black Synthetic Leather Briefcase Best Laptop Messenger Bag Satchel for Men,"  Suitable for a short business trip or a quick weekend getaway. Size In inches?17""L*4.5""W*12.4""H. weight: 800grm    Laptop padding? The laptop padding fits 15.6 inch laptop for business travel. Other compartment fits 17inch Laptop. Large capacity and front and interior pockets organization for all your business needs.    Removable, adjustable padded shoulder strap    HIGH QUALITY MATERIAL: Made from Premium and Rich quality PU Leather Fabric with Durable Polyester lining.    PERFECT GIFT :With a mutlipurpose use and a classy distressed Vintage inspired look which never goes out of style , This bag is a great gift idea for Fathers Day , Birthdays , Valentines Day , Christmas, Graduation, Back To College Or Any Occasion Which Calls For A Gift . Makes a great gift for professionals, artists , students and all sorts of officials. The bag can be used as a Leather messenger bag for men and women ,laptop bags briefcase , college bag, meeting bag, gift idea   ",  Product Dimensions:41.4 x 6.35 x 30.48 cm; 850 Grams   Date First Available:25 February 2020   Manufacturer:Bagneeds   ASIN:B0855F8174   Item part number:MESSENGER BAG-BAGNEEDS-BROWN-20   Country of Origin:India   Department:Unisex   Manufacturer:Bagneeds   Item Weight:850 g   Item Dimensions LxWxH:41.4 x 6.4 x 30.5 Centimeters   Included Components:Belt  ,B0855F8174,Bagneeds
EAYIRA Hanging Travel Toiletry Kit Bag Cosmetic Make up Organizer Multifunction Portable Makeup Pouch for Women and Girls Waterproof Ladies Case Travelling Storage Inner Ware Up Brush Kit Holder,"  Anti-bacterial inner lining and water-resistant fabric will protect your personal items from the penetration of moisture or bacterial     The tidy and fine close stitching ensure the bags are sturdy and durable, the high quality smooth zipper bring the best user experiences     Multiple compartments for different requests of storage, the bag will keep your toiletry accessories safe; The durable hook is convenient for hanging the bag wherever in the hotel or in the tent for space saving     Premium Quality: Mainly made of high quality Denier Nylon, PVC backing, strong durable hanging hook, best zipper and highest-standard workmanship.     Age Range Description: Adult; Pattern Name: Solid; Material Type: Polyvinyl Chloride    ",  Package Dimensions:24.8 x 21.9 x 2.2 cm; 180 Grams   Date First Available:22 April 2019   Manufacturer:EAYIRA   ASIN:B07QYVX5FT   Item part number:4202808718316   Country of Origin:China   Manufacturer:EAYIRA   Item Weight:180 g   Net Quantity:1 count  ,B07QYVX5FT,EAYIRA
Isle Locada by Hidesign Women's SLING BAG(AUBERGINE/AUBERG),  Leather material purple colored sling bag    15.2 centimeters height x 21.5 centimeters length x 5.8 centimeters width    Zip closure with handle    2 compartments and 1 pocket    1 year domestic warranty against manufacturing defects   ,  Product Dimensions:21.5 x 5.8 x 15.2 cm; 99 Grams   Date First Available:19 June 2019   Manufacturer:Isle Locada by Hidesign   ASIN:B07T97R1H1   Item model number:EE SANTORONI 01   Country of Origin:India   Department:Women   Manufacturer:Isle Locada by Hidesign   Item Weight:99 g   Item Dimensions LxWxH:21.5 x 5.8 x 15.2 Centimeters   Included Components:Sling Bag   Generic Name:Sling Bag  ,B07T97R1H1,Isle Locada by Hidesign
Baggit Women's PEPSI Sling Bag,  Faux Leather material    Green colored Hobo Handbag    Strap type : Single    Zip type closing mechanism.    Made in India   ,"  Product Dimensions:30.48 x 7.62 x 24.13 cm; 250 Grams   Date First Available:16 June 2021   Manufacturer:Baggit India Pvt Ltd   ASIN:B097C2T2DS   Item model number:2121613   Country of Origin:India   Department:Womens   Manufacturer:Baggit India Pvt Ltd, Baggit India Pvt Ltd   Packer:Baggit India Pvt Ltd   Importer:Baggit India Pvt Ltd   Item Weight:250 g   Item Dimensions LxWxH:30.5 x 7.6 x 24.1 Centimeters   Net Quantity:1.00 Handbag   Included Components:Cosmetic_bag   Generic Name:Sling Bag  ",B097C2T2DS,Baggit India Pvt Ltd
"Wenger BTS SUN 14/16 Inch Laptop Backpack, 10 Inch Tablet Pocket in Black Geo Print (27 Litres)-blend of style & function, Swiss designed, 612035","  Care Instructions: Hand Wash Only    Laptop & Tablet Pocket: 4 Zippered compartments with a padded 16'' laptop compartment & a dedicated 10'' tablet pocket. Keep your laptop & tablet secure in its own convenient pocket.    Comprehensive Features: An integrated SmartOrg pocket that safely stores phone & laptop cords for easy use & access. Ideal for commuting & traveling. Easily store items inside a multi-compartment organizer panel, keeping essentials from getting lost in larger compartments. Mesh side pockets are sized to hold a water bottle or an umbrella with reflective print for better visibility at night.    Optimum Comfort with Functionality: Padded grab handle provides maximum comfort when carrying the backpack by hand. Quickly tighten or loosen the shoulder straps to your desired fit with these convenient thumb-ring adjusters. & Airflow back padding keeps the wearer cool.    Dimensions & Material: Size 27 x 35 x 47 cm Capacity 27 l Material Polyester    3-Year Wenger Warranty Our products undergo strict quality controls & rigorous testing standards. Nevertheless, should you encounter a problem with your product, we are offering you a 3-year warranty.   ","  Product Dimensions:27 x 35 x 47 cm; 830 Grams   Date First Available:2 November 2021   Manufacturer:Victorinox   ASIN:B09T65VBSY   Item model number:612035   Country of Origin:India   Department:Unisex-adult   Manufacturer:Victorinox, Victorinox India Pvt Ltd.   Packer:Victorinox India Pvt Ltd.   Importer:Victorinox India Pvt Ltd.   Item Weight:830 g   Item Dimensions LxWxH:27 x 35 x 47 Centimeters   Net Quantity:1 Count   Generic Name:Backpack  ",B09T65VBSY,Victorinox
"WENGER 604429 Roadjumper Essential Laptop Backpack, Black, M","  Fit Type: Regular    Laptop & Tablet Pocket: Features a padded compartment protects up to a 16'' laptop. Keep your laptop & tablet secure in its own convenient pocket.    Comprehensive Features: Stabilising platform keeps the bag standing upright. Air-flow back padding allows for air circulation to keep you cool.    Optimum Comfort with Functionality: Padded grab handle for easy carrying & comfort-fit shoulder straps contour your shoulders for maximum comfort.    Dimensions & Material: Size 25 x 32 x 54 cm Capacity 32 l Material Polyester    3-Year Wenger Warranty Our products undergo strict quality controls and rigorous testing standards. Nevertheless, should you encounter a problem with your product, we are offering you a 3-year warranty.   ","  Product Dimensions:24.9 x 32 x 54.1 cm; 900 Grams   Date First Available:15 July 2021   Manufacturer:Wenger   ASIN:B07M8F2NBY   Item model number:604429   Country of Origin:China   Department:Unisex-adult   Manufacturer:Wenger, Victorinox India Pvt. Ltd - +91 22 62628888   Packer:Victorinox India Pvt. Ltd - +91 22 62628888   Importer:Victorinox India Pvt. Ltd - +91 22 62628888   Item Weight:900 g   Item Dimensions LxWxH:24.9 x 32 x 54.1 Centimeters   Net Quantity:1.00 count   Generic Name:Laptop Backpack  ",B07M8F2NBY,Wenger
"WENGER MERCURY ESSENTIAL Laptop Backpack Black - 604433, M","  Fit Type: Regular    Laptop & Tablet Pocket: Padded 16'' laptop compartment with dedicated tablet pocket. Keep your laptop & tablet secure in its own convenient pocket.    Comprehensive Features: An integrated SmartOrg pocket that safely stores phone & laptop cords for easy use & access. Ideal for commuting & traveling. Easily store items inside a multi-compartment organizer panel, keeping essentials from getting lost in larger compartments. Front zippered stash pocket for extra storage on the go. Mesh side pockets are sized to hold a water bottle or an umbrella.    Optimum Comfort with Functionality: Quickly tighten or loosen the shoulder straps to your desired fit with these convenient thumb-ring adjusters. & a D ring for an attachment.    Dimensions & Material: Size 23 x 35 x 48 cm Capacity 26 l Material Polyester    3-Year Wenger Warranty Our products undergo strict quality controls and rigorous testing standards. Nevertheless, should you encounter a problem with your product, we are offering you a 3-year warranty.   ","  Product Dimensions:23.9 x 34 x 47 cm; 2.5 Kilograms   Date First Available:15 July 2021   Manufacturer:Wenger   ASIN:B07DKJFNX3   Item model number:604433   Country of Origin:China   Department:Unisex-adult   Manufacturer:Wenger, Victorinox India Pvt. Ltd - +91 22 62628888   Packer:Victorinox India Pvt. Ltd - +91 22 62628888   Importer:Victorinox India Pvt. Ltd - +91 22 62628888   Item Weight:2 kg 500 g   Item Dimensions LxWxH:23.9 x 34 x 47 Centimeters   Net Quantity:1.00 count   Generic Name:Laptop Backpack  ",B07DKJFNX3,Wenger
"Lenovo 15.6"" Professional Backpack, Made in India, Water-resistant,Uncompromised storage, Travel friendly:Fleece-lined PC compartment,Vented,Padded BackPanel & Adjustable shoulder straps,Luggage strap","  Style meets Function: Designed for 15.6” Lenovo laptops, the backpack walks the line between function and form. It utilizes durable materials, and robust features set to cater to its audience's every need. Ideal for professionals looking for a stylish and versatile backpack for a variety of occasions    Sturdy & Durable: Fleece-lined laptop compartment that fights dust and damage. Water-resistant, joint material design and tough coated base help withstand daily wear and tear    Travel friendly backpack with Uncompromising storage space for devices and essentials: The backpack comes with a ventilated and well-padded back panel for extra breathability. Adjustable shoulder straps offer the perfect fit. Spacious main compartment and Stretchy polyester side pockets offer quick access to your essentials    Styled in classic dark blue and dark grey, the colors accentuate the sturdy materials the bag is constructed of   ","  Product Dimensions:32 x 12.5 x 43.5 cm; 640 Grams   Date First Available:23 December 2020   Manufacturer:Lenovo   ASIN:B08R7S55H4   Item model number:GX41B33569   Country of Origin:India   Department:Unisex-adult   Manufacturer:Lenovo, #43/3, Maruthi Mandira, Arisina Kunta, Next to Holiday Plam Hotel, Nelamangala, Bangalore 562123, India   Packer:#43/3, Maruthi Mandira, Arisina Kunta, Next to Holiday Plam Hotel, Nelamangala, Bangalore 562123, India   Item Weight:640 g   Item Dimensions LxWxH:32 x 12.5 x 43.5 Centimeters   Generic Name:Backpack  ",B08R7S55H4,Lenovo
BROGBUS Leather Men Bag Business Messenger,"  Messenger Cross Body Bag: Handbags are considered as a fashion statement and also is a great utility. Hand bags can be used to carry important personal belongings which are needed on a daily basis. Hand Bags are very important in completing the outfit. They can be used to improve your appearance, and you can actually convey the look you want others to perceive simply by adjusting your appearance.    Lightweight and Premium Leather: This is high quality classic genuine leather messenger bag from Wild Horn. Featuring an elegant design, hand stitched, dyed and aged messenger bag is long-lasting, light weight and a fine quality genuine leather product.    Adjustable Strap : This bag comes with an adjustable strap. They are great if sometimes you would like to wear your bag on your shoulder and other times you want to wear it across the body. You can just change the length to suit the need.    Dimensions and Ideal Application: This messenger bag has main interior compartment with flap top closure for added security and a fully lined interior that includes zip pocket and slip pockets for organization. One rear zip pocket. The compartment has dedicated space for, I pad, tablet, phone & other small accessories. (DIMENSION: L- 10.05inch H- 11.5inch W- 3inch)   ",  Product Dimensions:28 x 6 x 30 cm; 350 Grams   Date First Available:17 January 2022   Manufacturer:BROGBUS   ASIN:B09QLD9GJY   Item model number:Sling Messenger Bag-01   Country of Origin:India   Department:Unisex-adult   Manufacturer:BROGBUS   Packer:BROGBUS   Item Weight:350 g   Item Dimensions LxWxH:28 x 6 x 30 Centimeters   Net Quantity:1.00 count   Included Components:Messenger Bag   Generic Name:Sling Messenger Bag  ,B09QLD9GJY,BROGBUS
Baggit Women's Sling Bag (Grey),  Faux Material material    Grey colored Satchel Handbag    Strap type : Single    Zip type closing mechanism.    Made in India   ,"  Product Dimensions:25.4 x 12.7 x 24.13 cm; 250 Grams   Date First Available:7 July 2021   Manufacturer:Baggit India Pvt Ltd.   ASIN:B098TKJG1L   Item model number:2121434   Country of Origin:India   Department:Women   Manufacturer:Baggit India Pvt Ltd., Baggit India Pvt Ltd., Shree Arihant Compound, Kalher, Bhiwandi, Thane - 421302   Packer:Baggit India Pvt Ltd., Shree Arihant Compound, Kalher, Bhiwandi, Thane - 421302   Importer:Baggit India Pvt Ltd   Item Weight:250 g   Item Dimensions LxWxH:25.4 x 12.7 x 24.1 Centimeters   Net Quantity:1.00 count   Included Components:Cosmetic_bag   Generic Name:Satchel Handbag  ",B098TKJG1L,Baggit India Pvt Ltd.
DZert Clasy Laptop Bag College Bag for Boys Girls 21 L Blue White,"  Capicity: 21 Litres, Weight: 0.4kg; Dimensions: 45cmX29cmX16cm; Outer Material: Polyester; Inner Material: Polyester    Water Repellent: Yes; Laptop Compartment: Yes ; Compartments: 2,one front pocket to hold essentials and A mesh stash pocket on one side to accommodate a drinking bottle & other accessories.    Utility: Office, College, School, Camping, Weekend trip, Day trip    Accessories shown in the picture are not part of the bag.    Closure Type: Zipper; Strap Type: Adjustable; Age Range Description: Kid; Warranty Description: No Warranty; Style Name: Daypack Backpacks; Color Name: Blu-Wht; Water Resistance Level: Water Resistant   ","  Is Discontinued By Manufacturer:No   Product Dimensions:16 x 29 x 45 cm; 290 Grams   Date First Available:28 August 2018   Manufacturer:Rushi Enterprise   ASIN:B07GXYHFCY   Item model number:CLASY-SKY BLU   Country of Origin:India   Department:Unisex Kids   Manufacturer:Rushi Enterprise, Rushi Enterprise, Gujarat Amreli (INDIA)-365601 Mo- 7016045876   Packer:Rushi Enterprise, Gujarat Amreli (INDIA)-365601 Mo- 7016045876   Item Weight:290 g   Item Dimensions LxWxH:16 x 29 x 45 Centimeters   Net Quantity:1 Count   Included Components:Laptop School Backpack   Generic Name:School Backpack  ",B07GXYHFCY,No
AUXTER Red Polyester Avenger Captain America Shield school Bag casual Backpack Daypack,  Dimensions: 38 cm X 38 cm X 12 cm; Capacity: 33 Liters; Number of Compartments: 3 Compartments; Material: Nylon; Polyester    Warranty Description: 12 Months (Warranty Against Manufacturing Defects); Special Features: Zippered Back Pack With Adjustable Shoulder Straps And Nylon Hook For Hanging    Pocket Description: Utility Pocket; Theme: Sports; Special Features: Earphone Cord Support; Closure Type: Zipper; Pattern Name: Checkered; Style Name: Daypack Backpacks    Pattern Name: Checkered; Closure Type: Zipper; Pocket Description: Utility Pocket; Theme: Sports; Style Name: Daypack Backpacks; Special Features: Earphone Cord Support    Compartment Description: Not Laptop Compatible; Water Resistance Level: Water Resistant   ,"  Is Discontinued By Manufacturer:Yes   Product Dimensions:38 x 38 x 12 cm; 350 Grams   Date First Available:16 October 2016   ASIN:B01M7R5KMW   Item part number:AUX_BP_AVENGER   Country of Origin:India   Department:Unisex-adult   Packer:GEE KAY ENTERPRISES, PUNJAB, INDIA M : +91 8146718618   Item Weight:350 g   Item Dimensions LxWxH:38 x 38 x 12 Centimeters  ",B01M7R5KMW,Yes
"Wenger MARS Laptop Backpack with Padded compartment for 16 Inch laptop & 10 Inch tablet, Organizer for essentials in Black/Grey (26 Litre)-blend of style & function, Swiss designed, 612034","  Laptop & Tablet Pocket: Padded 16"" laptop compartment & a separate 10"" tablet compartment. Organiser for important accessories for organising cables, chargers & business cards. Keep your laptop & tablet secure in its own convenient pocket.    Comprehensive Features: Mesh side pockets for carrying a water bottle or an umbrella. Cords on the front for attaching jackets & larger accessories.    Optimum Comfort with Functionality: Contoured, heavily padded suspension straps allow for unrestricted movement & the ultimate in carrying comfort. Padded back panel adds maximum comfort. Wire reinforced padded top handle for easy carrying.    Dimensions & Material: Size 24 x 33 x 46 cm Capacity 26 l Material Polyester    3-Year Wenger Warranty Our products undergo strict quality controls and rigorous testing standards. Nevertheless, should you encounter a problem with your product, we are offering you a 3-year warranty.   ","  Product Dimensions:33 x 24 x 46 cm; 540 Grams   Date First Available:1 November 2020   Manufacturer:Wenger   ASIN:B087KMCV5N   Item model number:610205   Country of Origin:India   Department:Unisex-adult   Manufacturer:Wenger, Victorinox India Pvt. Ltd - +91 22 62628888   Packer:Victorinox India Pvt. Ltd - +91 22 62628888   Importer:Victorinox India Pvt. Ltd - +91 22 62628888   Item Weight:540 g   Item Dimensions LxWxH:33 x 24 x 46 Centimeters   Net Quantity:1 Count   Included Components:Backpack   Generic Name:Laptop Backpack  ",B087KMCV5N,Wenger
